Model,Framework,Category,Parameters,Parameters (M),Size (MB)
AMEVulDetector_EncoderAttention,TensorFlow,AME VulDetector,601201,0.6012,2.4048
AMEVulDetector_EncoderWeight,TensorFlow,AME VulDetector,281805,0.2818,1.1272
AMEVulDetector_FNNModel,TensorFlow,AME VulDetector,263451,0.2635,1.0538
PyTorch_GCN_250D,PyTorch,Classical GNN,4305,0.0043,0.0172
PyTorch_GCN_41D,PyTorch,Classical GNN,961,0.0010,0.0038
PyTorch_GCN_64D,PyTorch,Classical GNN,1329,0.0013,0.0053
GNNSCVulDetector_GNNSCModel,TensorFlow,GNNSC VulDetector,66114,0.0661,0.2645
QGCN_Linear_250D,PyTorch,Quantum GNN,4113,0.0041,0.0165
QGCN_Linear_41D,PyTorch,Quantum GNN,769,0.0008,0.0031
QGCN_Linear_64D,PyTorch,Quantum GNN,1137,0.0011,0.0045
QGCN_MPS_250D,PyTorch,Quantum GNN,4127,0.0041,0.0165
QGCN_MPS_41D,PyTorch,Quantum GNN,783,0.0008,0.0031
QGCN_MPS_64D,PyTorch,Quantum GNN,1151,0.0012,0.0046
QGCN_TTN_250D,PyTorch,Quantum GNN,4127,0.0041,0.0165
QGCN_TTN_41D,PyTorch,Quantum GNN,783,0.0008,0.0031
QGCN_TTN_64D,PyTorch,Quantum GNN,1151,0.0012,0.0046
